college,college_tier
A. P. SHAH INSTITUTE OF TECHNOLOGY,TIER 3
A.D PATEL INSTITUTE OF TECH,TIER 3
AALIM MUHAMMED SALEGH COLLEGE OF ENGINEERING,TIER 3
ABES ENGINEERING COLLEGE,TIER 3
ABESIT,TIER 3
ABV-IIITM GWALIOR,TIER 2
ACADEMY OF TECHNOLOGY,TIER 3
ACHARYA INSTITUTE OF TECHNOLOGY,TIER 3
ACHARYA NAGARJUNA UNIVERSITY,TIER 3
ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH,TIER 3
ADHIYAMAAN COLLEGE OF ENGINEERING,TIER 3
ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
ADITYA ENGINEERING COLLEGE,TIER 3
AISSMS INSTITUE OF INFORMATION TECHNOLOGY,TIER 3
AIT PUNE,TIER 3
AJAY KUMAR GARG ENGINEERING COLLEGE,TIER 3
AKU - DR. A.P.J ABDUL KALAM UNIVERSITY,TIER 3
ALIGARH MUSLIM UNIVERSITY,TIER 2
ALLAHABAD UNIVERSITY,TIER 3
AMBEDKAR INSTITUTE OF ADVANCED COMMUNICATIONS,TIER 3
AMC ENGINEERING COLLEGE,TIER 3
AMITY UNIVERSITY,TIER 3
AMITY UNIVERSITY NOIDA,TIER 3
AMITY UNIVERSITY RAIPUR,TIER 3
"AMITY, LUCKNOW",TIER 3
AMRITA VISHWA VIDYAPEETHAM,TIER 2
ANDHRA UNIVERSITY,TIER 3
ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCIENCES,TIER 3
ANNA UNIVERSITY,TIER 2
ANNA UNIVERSITY OF TECHNOLOGY TIRUCHIRAPALLI,TIER 3
ANNAMALAI UNIVERSITY,TIER 3
ANURAG GROUP OF INSTITUTIONS,TIER 3
APJ ABDUL KALAM TECHNOLOGICAL UNIVERSITY,TIER 3
ARYA COLLEGE OF ENGINEERING AND IT,TIER 3
ASANSOL ENGINEERING COLLEGE,TIER 3
ASIAN SCHOOL OF BUSINESS,TIER 3
ASSAM DOWN TOWN UNIVERSITY,TIER 3
AURORA DEGREE AND PG COLLEGE,TIER 3
B P PODDAR INSTITUTE OF MANAGEMENT AND TECHNOLOGY,TIER 3
"B V B COLLEGE OF ENGG. AND TECHNOLOGY, HUBLI",TIER 3
B. H. GARDI COLLEGE OF ENG. AND TECH.,TIER 3
B. S. ABDUR RAHMAN CRESCENT INSTITUTE OF SCIENCE AND TECHNOLOGY,TIER 3
BABA BANDA SINGH BAHADUR ENGINEERING COLLEGE,TIER 3
BAHRA UNIVERSITY,TIER 3
BANASTHALI VIDYAPITH,TIER 3
BANGALORE INSTITUTE OF TECHNOLOGY,TIER 2
BANGALORE UNIVERSITY,TIER 3
BANNARI AMMAN INSTITUTE OF TECHNOLOGY,TIER 3
BAPATLA ENGINEERING COLLEGE,TIER 3
BARKATULLAH UNIVERSITY BHOPAL,TIER 3
BBD LUCKNOW,TIER 3
BENNETT UNIVERSITY,TIER 3
BHAGALPUR COLLEGE OF ENGINEERING,TIER 3
BHARAT INSTITUTE OF TECHNOLOGY SONEPAT,TIER 3
"BHARAT INSTITUTE OF TECHNOLOGY, MEERUT",TIER 3
BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH,TIER 3
BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,TIER 3
"BHARATI VIDYAPEETH UNIVERSITY COLLEGE OF ENGINEERING, PUNE",TIER 3
BHILAI INSTITUTE OF TECHNOLOGY DURG,TIER 3
BIET DAVANAGERE,TIER 3
BIRBHUM INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
BIT,TIER 3
BIT MESRA,TIER 2
BIT SINDRI,TIER 2
BITM BELLARY,TIER 3
BITS GOA,TIER 1
BITS HYDERABAD,TIER 1
BITS PILANI,TIER 1
BML MUNJAL UNIVERSITY,TIER 3
BMS COLLEGE OF ENGINEERING,TIER 2
BMSIT,TIER 3
BOARD OF TECHNICAL EDUCATION,TIER 3
BPIT DELHI,TIER 3
BPUT,TIER 3
BRAINWARE GROUP OF INSTITUTIONS,TIER 3
BUDGE BUDGE INSTITUTE OF TECHNOLOGY,TIER 3
BUNDELKHAND INSTITUTE OF ENGINEERING AND TECHNOLOGY JHANSI,TIER 3
BVICAM,TIER 3
C-DAC,TIER 3
CAMBRIDGE INSTITUTE OF TECHNOLOGY,TIER 3
CCS ( CHAUDHARY CHARAN SINGH ) UNIVERSITY,TIER 3
CCS UNIVERSITY,TIER 3
"CH. BRAHM PRAKSH GOVERNMENT ENGINEERING COLLEGE, DELHI",TIER 3
"CHANDIGARH ENGINEERING COLLEGE, LANDRAN",TIER 3
CHANDIGARH UNIVERSITY,TIER 3
CHAROTAR UNIVERSITY OF SCIENCE AND TECHNOLOGY CHARUSAT CHANGA,TIER 3
CHHATTISGARH SWAMI VIVEKANAND TECHNICAL UNIVERSITY,TIER 3
CHITKARA UNIVERSITY,TIER 3
CHRIST UNIVERSITY,TIER 3
CMR COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
CMR INSTITUTE OF TECHNOLOGY HYDERABAD,TIER 3
"CMR INSTITUTE OF TECHNOLOGY, BANGALORE",TIER 3
CMRIT,TIER 3
COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,TIER 3
COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
COIMBATORE INSTITUTE OF TECHNOLOGY,TIER 2
"COLLEGE OF ENGINEERING AND MANAGEMENT, KOLAGHAT",TIER 3
"COLLEGE OF ENGINEERING AND TECHNOLOGY, BHUBANESWAR",TIER 3
COLLEGE OF ENGINEERING TRIVANDRUM,TIER 3
"COLLEGE OF ENGINEERING, GUINDY",TIER 2
"COLLEGE OF ENGINEERING, PUNE",TIER 2
"CSVTU, BHILLAI",TIER 3
CV RAMAN COLLEGE OF ENGINEERING,TIER 3
CVR COLLEGE OF ENGINEERING,TIER 3
DAIICT,TIER 2
DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT,TIER 3
DAYANANDA SAGAR COLLEGE OF ENGINEERING,TIER 2
DCR UNIVERSITY OF SCIENCE AND TECHNOLOGY,TIER 3
DCRUST MURTHAL,TIER 3
DELHI INSTITUTE OF TOOL ENGINEERING,TIER 3
DELHI UNIVERSITY,TIER 2
DEPARTMENT OF COMPUTER SCIENCE UNIVERSITY OF DELHI,TIER 3
DEVI AHILYA UNIVERSITY INDORE,TIER 3
DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE,TIER 3
DHARMSINH DESAI UNIVERSITY,TIER 2
DIT UNIVERSITY,TIER 3
DON BOSCO INSTITUTE OF TECHNOLOGY,TIER 3
DR BABASAHEB AMBEDKAR TECHNOLOGICAL UNIVERSITY,TIER 3
DR. A.P.J ABDUL KALAM UNIVERSITY,TIER 3
DR. AKHILESH DAS GUPTA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
