current_city,current_city_tier
Abu Dhabi,Tier 3
Addanki,Tier 3
Adilabad,Tier 3
Agartala,Tier 2
Agra,Tier 2
Ahmedabad,Tier 1
Ahmednagar,Tier 3
Ajmer,Tier 2
Akola,Tier 3
Aligarh,Tier 2
Alwar,Tier 3
Amalapuram,Tier 3
Ambala,Tier 2
Ambernath,Tier 3
Amravati,Tier 3
Amritsar,Tier 2
Anantapur,Tier 3
Andhra Pradesh,Tier 3
Arrah,Tier 3
Asansol,Tier 2
Athagarh,Tier 3
Aurangabad,Tier 2
Ayodhya,Tier 3
Azamgarh,Tier 3
Bachhrawan,Tier 3
Bahadurgarh,Tier 3
Balasore,Tier 3
Ballia,Tier 3
Banda,Tier 3
Bangaon,Tier 3
Bankura,Tier 3
Barwala,Tier 3
Bathinda,Tier 2
Begusarai,Tier 3
Bengaluru,Tier 1
Berhampur,Tier 3
Bhadohi,Tier 3
Bharatpur,Tier 3
Bharuch,Tier 3
Bhilai,Tier 2
Bhimavaram,Tier 3
Bhiwandi,Tier 3
Bhiwani,Tier 3
Bhopal,Tier 2
Bhubaneswar,Tier 2
Bhusawal,Tier 3
Bihar,Tier 3
Bihar Sharif,Tier 3
Bijnor,Tier 3
Bikaner,Tier 2
Burdwan,Tier 3
Burhanpur,Tier 3
Centennial,Tier 3
Chandigarh,Tier 2
Chandrapur,Tier 3
Chennai,Tier 1
Chhattisgarh,Tier 3
Chilakalurupet,Tier 3
Chitrakoot,Tier 3
Chittoor,Tier 3
Coimbatore,Tier 2
Cuddalore,Tier 3
Dalkhola,Tier 3
Damoh,Tier 3
Darjeeling,Tier 3
Davangere,Tier 2
Dehradun,Tier 2
Delhi,Tier 1
Deoghar,Tier 3
Deoli,Tier 3
Dewas,Tier 3
Dhanbad,Tier 2
Dharmapuri,Tier 3
Dhenkanal,Tier 3
Dhulagari,Tier 3
Dhule,Tier 3
Dindigul,Tier 3
Dublin,Tier 3
Dumri,Tier 3
Durg,Tier 2
Durgapur,Tier 2
Etawah,Tier 3
Faridabad,Tier 1
Gailpur,Tier 3
Gajwel,Tier 3
Garhwa,Tier 3
Gaya,Tier 3
Ghatsila,Tier 3
Ghaziabad,Tier 1
Goa,Tier 3
Goodman,Tier 3
Gorakhpur,Tier 2
Greater Noida West,Tier 1
Guna,Tier 3
Guntakal,Tier 3
Guntur,Tier 2
Gurugram,Tier 1
Guwahati,Tier 2
Gwalior,Tier 2
Hajipur,Tier 3
Haldwani,Tier 2
Hamirpur,Tier 3
Hanumangarh Town,Tier 3
Hapur,Tier 3
Haridwar,Tier 2
Hazaribagh,Tier 3
Himachal Pradesh,Tier 3
Hindaun City,Tier 3
Hindupur,Tier 3
Hisar,Tier 3
Howrah,Tier 1
Hubli,Tier 2
Hyderabad,Tier 1
Iit Guwahati,Tier 3
Indore,Tier 2
Itanagar,Tier 3
Jabalpur,Tier 2
Jaijaspura,Tier 3
Jaipur,Tier 2
Jalandhar,Tier 2
Jaleswar,Tier 3
Jalpaiguri,Tier 3
Jammu,Tier 2
Jamnagar,Tier 3
Jamshedpur,Tier 2
Jehanabad,Tier 3
Jharsuguda,Tier 3
Jind,Tier 3
Jodhpur,Tier 2
Kadapa,Tier 3
Kakinada,Tier 2
Kalburgi,Tier 3
Kalyan,Tier 1
Kamarhati,Tier 3
Kanchipuram,Tier 3
Kanchrapara,Tier 3
Kandi,Tier 3
Kannur,Tier 3
Kanpur,Tier 2
Kaptanganj,Tier 3
Kapurthala,Tier 3
Karnal,Tier 2
Karnataka,Tier 3
Khadki,Tier 3
Khammam,Tier 3
Khandwa,Tier 3
Khanna,Tier 3
Kharagpur,Tier 3
Khatauli,Tier 3
Kheda,Tier 3
Khordha,Tier 3
Kishangarh,Tier 3
Kochi,Tier 2
Kolhapur,Tier 2
Kolkata,Tier 1
Kota,Tier 2
Kozhikode,Tier 2
Kumar Bazidpur,Tier 3
Kurnool,Tier 3
Kurukshetra,Tier 2
Kushmandi,Tier 3
Kutch,Tier 3
Laliyahi,Tier 3
Lucknow,Tier 2
Ludhiana,Tier 2
Machilipatnam,Tier 3
Madhepura,Tier 3
Madhya Pradesh,Tier 3
Mahagama,Tier 3
Mahbubnagar,Tier 3
Mahendergarh,Tier 3
Malkapur,Tier 3
Mandi Gobindgarh,Tier 3
Mandsaur,Tier 3
Mangalore,Tier 2
Margao,Tier 3
Margherita,Tier 3
Mauranipur,Tier 3
Meerut,Tier 2
Mirajgaon,Tier 3
Miryalaguda,Tier 3
Mohali,Tier 2
Moharli,Tier 3
Motihari,Tier 3
Mughalsarai,Tier 3
Mukerian,Tier 3
Mumbai,Tier 1
Munnar,Tier 3
Muzaffarpur,Tier 3
Mysore,Tier 2
Nadiad,Tier 3
Nagapattinam,Tier 3
Nagpur,Tier 2
Namakkal,Tier 3
Nandini Nagar,Tier 3
Nandyal,Tier 3
Narsapur,Tier 3
Narsinghpur,Tier 3
Nashik,Tier 2
Navsari,Tier 3
Nawagaon,Tier 3
Naya Nangal,Tier 3
Nohar,Tier 3
Noida,Tier 1
Odisha,Tier 3
Padma,Tier 3
Palakkad,Tier 3
Palasa,Tier 3
Panvel,Tier 1
Parasia,Tier 3
Pataudi,Tier 3
Pathanamthitta,Tier 3
Patiala,Tier 2
Patna,Tier 2
Pen,Tier 3
Phadki,Tier 3
Piduguralla,Tier 3
Pimpalgaon Baswan,Tier 3
Pithapuram,Tier 3
Pratapgarh,Tier 3
Prayagraj,Tier 2
Pune,Tier 1
Purnia,Tier 3
Qadian,Tier 3
Raipur,Tier 2
Rajahmundry,Tier 3
Rajpura,Tier 3
Ranchi,Tier 2
Rasara,Tier 3
Rath,Tier 3
Ratnagiri,Tier 3
Raver,Tier 3
Rawatsar,Tier 3
Rewari,Tier 3
Roorkee,Tier 2
Rourkela,Tier 2
Sadabad,Tier 3
Sadipur,Tier 3
Sagar,Tier 3
Saharanpur,Tier 2
Saharsa,Tier 3
Salem,Tier 2
Samastipur,Tier 3
Sangrur,Tier 3
Sasvad,Tier 3
Satara,Tier 3
Satna,Tier 3
Sehore,Tier 3
Shahganj,Tier 3
Shahpura,Tier 3
Shajapur,Tier 3
Shillong,Tier 2
Shirpur,Tier 3
Siliguri,Tier 2
Sillari,Tier 3
Simdega,Tier 3
Singur,Tier 3
Sirkabad,Tier 3
Sitarganj,Tier 3
Siwan,Tier 3
Sojitra,Tier 3
Solapur,Tier 2
Srikakulam,Tier 3
Sultanpur,Tier 3
Surajgarh,Tier 3
Surat,Tier 2
Suryapet,Tier 3
Tadepalle,Tier 3
