growth,growth_category
0.0,Low Growth
12.0,Low Growth
13.0,Low Growth
14.0,Low Growth
16.0,Low Growth
22.0,Low Growth
25.0,Low Growth
28.0,Low Growth
30.0,Low Growth
33.0,Low Growth
35.0,Low Growth
40.0,Low Growth
44.0,Low Growth
45.0,Low Growth
46.0,Low Growth
50.0,Low Growth
53.0,Low Growth
55.0,Low Growth
58.0,Low Growth
60.0,Low Growth
61.0,Low Growth
63.0,Low Growth
64.0,Low Growth
67.0,Low Growth
68.0,Low Growth
70.0,Low Growth
71.0,Low Growth
73.0,Low Growth
77.0,Low Growth
80.0,Low Growth
81.0,Low Growth
82.0,Low Growth
83.0,Low Growth
84.0,Low Growth
85.0,Low Growth
86.0,Low Growth
87.0,Low Growth
88.0,Low Growth
89.0,Low Growth
90.0,Low Growth
91.0,Low Growth
93.0,Low Growth
94.0,Low Growth
95.0,Low Growth
100.0,Low Growth
102.0,Low Growth
103.0,Low Growth
104.0,Low Growth
105.0,Low Growth
106.0,Low Growth
107.0,Low Growth
108.0,Low Growth
109.0,Low Growth
110.0,Low Growth
111.0,Low Growth
112.0,Low Growth
113.0,Low Growth
114.0,Low Growth
115.0,Low Growth
116.0,Low Growth
117.0,Low Growth
118.0,Low Growth
119.0,Moderate Growth
120.0,Moderate Growth
122.0,Moderate Growth
123.0,Moderate Growth
124.0,Moderate Growth
125.0,Moderate Growth
126.0,Moderate Growth
127.0,Moderate Growth
128.0,Moderate Growth
129.0,Moderate Growth
130.0,Moderate Growth
132.0,Moderate Growth
133.0,Moderate Growth
134.0,Moderate Growth
135.0,Moderate Growth
136.0,Moderate Growth
137.0,Moderate Growth
138.0,Moderate Growth
140.0,Moderate Growth
141.0,Moderate Growth
142.0,Moderate Growth
143.0,Moderate Growth
144.0,Moderate Growth
145.0,Moderate Growth
146.0,Moderate Growth
147.0,Moderate Growth
148.0,Moderate Growth
149.0,Moderate Growth
150.0,Moderate Growth
151.0,Moderate Growth
152.0,Moderate Growth
153.0,Moderate Growth
154.0,Moderate Growth
155.0,Moderate Growth
156.0,Moderate Growth
157.0,Moderate Growth
159.0,Moderate Growth
161.0,Moderate Growth
162.0,Moderate Growth
163.0,Moderate Growth
164.0,Moderate Growth
165.0,Moderate Growth
166.0,Moderate Growth
167.0,Moderate Growth
168.0,Moderate Growth
170.0,Moderate Growth
171.0,Moderate Growth
172.0,Moderate Growth
174.0,Moderate Growth
175.0,Moderate Growth
176.0,Moderate Growth
177.0,Moderate Growth
178.0,Moderate Growth
180.0,Moderate Growth
181.0,Moderate Growth
182.0,Moderate Growth
183.0,Moderate Growth
185.0,Moderate Growth
186.0,Moderate Growth
187.0,Moderate Growth
188.0,Moderate Growth
191.0,High Growth
192.0,High Growth
193.0,High Growth
194.0,High Growth
195.0,High Growth
198.0,High Growth
200.0,High Growth
202.0,High Growth
203.0,High Growth
204.0,High Growth
205.0,High Growth
206.0,High Growth
207.0,High Growth
208.0,High Growth
211.0,High Growth
212.0,High Growth
213.0,High Growth
214.0,High Growth
217.0,High Growth
218.0,High Growth
220.0,High Growth
223.0,High Growth
224.0,High Growth
225.0,High Growth
227.0,High Growth
229.0,High Growth
230.0,High Growth
231.0,High Growth
232.0,High Growth
233.0,High Growth
237.0,High Growth
238.0,High Growth
242.0,High Growth
243.0,High Growth
244.0,High Growth
246.0,High Growth
247.0,High Growth
249.0,High Growth
250.0,High Growth
254.0,High Growth
257.0,High Growth
258.0,High Growth
260.0,High Growth
261.0,High Growth
263.0,High Growth
266.0,High Growth
267.0,High Growth
268.0,High Growth
270.0,High Growth
271.0,High Growth
273.0,High Growth
275.0,High Growth
276.0,High Growth
280.0,High Growth
282.0,High Growth
285.0,High Growth
286.0,High Growth
288.0,High Growth
291.0,High Growth
293.0,High Growth
295.0,High Growth
297.0,High Growth
298.0,High Growth
299.0,High Growth
300.0,High Growth
313.0,High Growth
316.0,High Growth
317.0,High Growth
320.0,High Growth
321.0,High Growth
322.0,High Growth
325.0,High Growth
327.0,High Growth
328.0,High Growth
330.0,High Growth
331.0,High Growth
333.0,High Growth
342.0,High Growth
346.0,High Growth
347.0,High Growth
352.0,High Growth
365.0,High Growth
372.0,High Growth
374.0,High Growth
380.0,High Growth
384.0,High Growth
391.0,High Growth
400.0,High Growth
404.0,High Growth
408.0,High Growth
424.0,High Growth
427.0,High Growth
433.0,High Growth
438.0,High Growth
445.0,High Growth
446.0,High Growth
456.0,High Growth
495.0,High Growth
498.0,High Growth
500.0,High Growth
506.0,High Growth
508.0,High Growth
522.0,High Growth
577.0,High Growth
584.0,High Growth
600.0,High Growth
614.0,High Growth
650.0,High Growth
677.0,High Growth
689.0,High Growth
817.0,High Growth
825.0,High Growth
869.0,High Growth
873.0,High Growth
966.0,High Growth
1428.0,High Growth
