pre_academy_company,pre_academy_segment
1Stdibs,High Growth Startups
22bate7,SMB
4 Minute Mile,SMB
A square investment,SMB
ABB,Established Business
ACL Digital,High Growth Startups
ADP,Services
Abyeti Technologies Pvt. Ltd,SMB
Accenture,High Growth Startups
Accenture,Services
Accolite Digital,Established Business
Accolite Digital,Services
Acs India Pvt. Ltd.,High Growth Startups
Adappt Mobile Cloud Applications Private Limited,High Growth Startups
Adobe,Tech Giants
Adobe,Established Business
Adstacks Media,High Growth Startups
Advanced business and healthcare solutions,SMB
Agilysys,High Growth Startups
Ai Smart Labs,High Growth Startups
Airbus,Established Business
Airtel,Established Business
Aithent,High Growth Startups
Akamai,High Growth Startups
Aknamed,High Growth Startups
Allincall,SMB
Alphavector India Pvt. Ltd.,High Growth Startups
Altair,High Growth Startups
Altimetrik,High Growth Startups
Altran,High Growth Startups
Amadeus IT Group,Established Business
Amazon,Tech Giants
Amdocs,Services
Amenify,SMB
American Express,Established Business
Antwak,SMB
AppAnalytics,High Growth Startups
AppDirect,High Growth Startups
AppViewX,High Growth Startups
Appening,SMB
Appinventiv,High Growth Startups
Appperfect Corp,Services
Aptean,Established Business
Arcesium,Services
Arcesium,Established Business
Arcserve India solutions limited,High Growth Startups
Argus System,SMB
Aricent,Services
Arrow Electronics,Established Business
Arthashastra Fintech,High Growth Startups
Ashoka (Inncircles),Services
Aspiring Minds,SMB
Atos Syntel,Amazing Startups
Audax Labs,High Growth Startups
Aurionpro,High Growth Startups
Automatad,SMB
Aviso Software India,SMB
Avu Business Pvt Ltd,Services
Axtria,High Growth Startups
B S Apparel,SMB
BNY Mellon,Established Business
BPMLinks Solutions Pvt. Ltd,High Growth Startups
BTN,SMB
Bacancy Technology,High Growth Startups
Bajaj Auto Limited,Established Business
Bamboo Rose India Pvt Ltd,High Growth Startups
Bash Bazaar,SMB
Bhanzu,High Growth Startups
Bharat Pe,High Growth Startups
Bhoomi Sustainable Foods and Beverages Pvt Ltd,SMB
Bidgely,High Growth Startups
BigStep Technologies,High Growth Startups
Birlasoft,Established Business
Blue Yonder GmbH,High Growth Startups
BlueStacks,High Growth Startups
Bold Limited,SMB
Bondevalue,High Growth Startups
Borderfree Technologies,High Growth Startups
Bosch,Established Business
Bridgera LLC,Amazing Startups
Brillio,High Growth Startups
Broaddcast business solutions,SMB
Broadridge,Established Business
Buyhatke,SMB
Byju's,Amazing Startups
Byju's,High Growth Startups
CAW Studios,High Growth Startups
CDAC,Established Business
CGI,High Growth Startups
CLSA,Established Business
CSG International,SMB
CaaStle,Services
Cable,High Growth Startups
Calsoft,High Growth Startups
Capermint Technologies,High Growth Startups
Capgemini,Services
CarDekho,High Growth Startups
Career Break for Professional Development,Career Break
Cashfree Payments,High Growth Startups
Caterpillar,Established Business
Cbrex Technologies Pvt. Ltd.,High Growth Startups
Center for Railway Information Systems,Established Business
Cerebry,High Growth Startups
Cerence,High Growth Startups
Cergis Software Solutions,SMB
ChaiPoint,High Growth Startups
Chainthat,High Growth Startups
Charlee.Ai,High Growth Startups
Checkbox,High Growth Startups
Chegg,High Growth Startups
Chumbak,High Growth Startups
Cians Analytics,Services
Cisco,Tech Giants
Citi,Established Business
CitiusTech,Amazing Startups
CitiusTech,Services
Class on Air,SMB
Classic Informatics,SMB
Classplus,High Growth Startups
